mun_code,name,county,median_income
0715,North Caldwell,Essex,200152
Millburn,Essex,184783
Essex Fells,Essex,172386
Harding Township,Morris,171331
Glen Ridge,Essex,170433
Mendham Township,Morris,170160
Upper Saddle River,Bergen,169301
Tewksbury,Hunterdon,165552
Mountain Lakes,Morris,164432
Demarest,Bergen,163571
Ho-Ho-Kus,Bergen,162386
West Windsor,Mercer,161750
Haworth,Bergen,160526
Colts Neck,Monmouth,160000
Fair Haven,Monmouth,157344
Franklin Lakes,Bergen,156146
Montgomery Township,Somerset,155334
Glen Rock,Bergen,155221
Chester,Morris,154094
Chatham,Morris,151216
Ridgewood,Bergen,147823
Tenafly,Bergen,147196
Westfield,Union,146734
Warren,Somerset,143833
Livingston,Essex,143203
Chatham Borough,Morris,142765
Oradell,Bergen,141550
Hopewell,Mercer,141003
Englewood Cliffs,Bergen,140605
Allendale,Bergen,140331
Kinnelon,Morris,140265
Watchung,Somerset,140163
Woodcliff Lake,Bergen,139857
Berkeley Heights,Union,139152
Marlboro,Monmouth,137805
Little Silver,Monmouth,136818
Rumson,Monmouth,136538
Holmdel,Monmouth,136525
Interlaken,Monmouth,135938
Ramsey,Bergen,135387
Mountainside,Union,133571
Rockleigh,Bergen,133125
River Vale,Bergen,132265
Peapack and Gladstone,Somerset,132250
Wyckoff,Bergen,131714
Sparta,Sussex,131182
Bethlehem Township,Hunterdon,130565
Alexandria,Hunterdon,130262
Millstone,Monmouth,130109
New Providence,Union,130057
Green Brook,Somerset,130053
Mendham Borough,Morris,129853
Bernards,Somerset,129690
Summit,Union,129583
Cranbury,Middlesex,128750
Haddonfield,Camden,128440
Harrington Park,Bergen,128088
Harrison,Gloucester,127975
Morris Township,Morris,127805
Upper Freehold,Monmouth,127753
Mantoloking,Ocean,126250
Branchburg,Somerset,124306
Washington Township,Morris,124177
Closter,Bergen,124023
Clinton Township,Hunterdon,123147
Union Township,Hunterdon,122527
Brielle,Monmouth,122416
Montville,Morris,122260
Moorestown,Burlington,121637
Saddle River,Bergen,121026
Chesterfield,Burlington,120515
Randolph,Morris,120392
Green Township,Sussex,119286
Woolwich,Gloucester,118509
Maplewood,Essex,118242
Readington,Hunterdon,118125
South Orange,Essex,116727
Robbinsville,Mercer,116686
South Harrison,Gloucester,116375
Old Tappan,Bergen,116285
Shrewsbury,Monmouth,116087
Washington Township,Bergen,115571
Pennington,Mercer,115536
Boonton,Morris,115268
Cranford,Union,115201
Princeton,Mercer,114645
Raritan,Hunterdon,114569
Bridgewater,Somerset,114510
Bernardsville,Somerset,114444
Hoboken,Hudson,114381
Hanover Township,Morris,113816
East Greenwich Township,Gloucester,113421
Kingwood,Hunterdon,113306
Metuchen,Middlesex,112971
Hillsborough,Somerset,112788
Loch Arbour,Monmouth,112500
Fanwood,Union,111905
Long Hill,Morris,111500
Alpine,Bergen,111146
Greenwich Township,Warren,111094
Scotch Plains,Union,110908
Morris Plains,Morris,110817
Montvale,Bergen,110635
Cresskill,Bergen,110156
Madison,Morris,110040
South Brunswick,Middlesex,109551
Oakland,Bergen,109258
Medford,Burlington,109015
Ringwood,Passaic,108638
Bay Head,Ocean,108542
Sea Girt,Monmouth,108333
Hillsdale,Bergen,108224
Waldwick,Bergen,108182
Manalapan,Monmouth,107569
Mahwah,Bergen,107336
Fairfield,Essex,106691
Wayne,Passaic,106357
Lebanon,Hunterdon,106156
Springfield,Burlington,105852
Hardwick,Warren,105556
Roxbury,Morris,105105
Denville,Morris,104815
Delaware,Hunterdon,104643
Wenonah,Gloucester,104375
Byram,Sussex,104281
Rocky Hill,Somerset,104219
Park Ridge,Bergen,104047
Florham Park,Morris,103916
West Amwell,Hunterdon,103875
River Edge,Bergen,103607
Andover,Sussex,103598
Far Hills,Somerset,103333
Monmouth Beach,Monmouth,103287
Millstone,Somerset,103000
Emerson,Bergen,102500
Middletown,Monmouth,102474
East Hanover,Morris,102165
Roseland,Essex,101786
Cedar Grove,Essex,101779
Edgewater,Bergen,101767
Milltown,Middlesex,101685
Westampton,Burlington,101653
Verona,Essex,101528
Spring Lake,Monmouth,101500
Clinton,Hunterdon,101422
Hopewell,Mercer,101316
Califon,Hunterdon,100833
Freehold Township,Monmouth,100759
Frelinghuysen,Warren,100625
Fredon,Sussex,100368
Rockaway,Morris,100303
Paramus,Bergen,100272
Medford Lakes,Burlington,100024
West Caldwell,Essex,99708
Fair Lawn,Bergen,99536
Springfield,Union,99211
Montclair,Essex,99105
East Brunswick,Middlesex,98658
West Milford,Passaic,98556
Tabernacle,Burlington,98375
Allentown,Monmouth,97434
Kenilworth,Union,97279
Chester,Morris,97250
East Amwell,Hunterdon,97031
Wood-Ridge,Bergen,96988
Teaneck,Bergen,96760
Bedminster,Somerset,96644
Franklin Township,Hunterdon,96591
Plainsboro,Middlesex,96480
North Haledon,Passaic,96161
Mine Hill,Morris,95000
Shamong,Burlington,94777
Lafayette,Sussex,94712
Hardyston,Sussex,94665
Jefferson,Morris,94662
Liberty,Warren,93833
Howell,Monmouth,93733
Manasquan,Monmouth,93200
Dumont,Bergen,93074
Mansfield,Burlington,92594
Wall,Monmouth,92539
Butler,Morris,92377
Norwood,Bergen,92203
Cherry Hill,Camden,92185
Riverton,Burlington,92125
Clark,Union,90956
Franklin Township,Somerset,90949
Stockton,Hunterdon,90938
Evesham,Burlington,90797
Edison,Middlesex,90515
Delran,Burlington,90512
West Orange,Essex,90363
Hainesport,Burlington,90331
Boonton,Morris,90326
Cinnaminson,Burlington,90286
Oceanport,Monmouth,90238
Upper Pittsgrove,Salem,90042
Frankford,Sussex,89891
Hope Township,Warren,89792
Point Pleasant Boro,Ocean,89779
Pine Beach,Ocean,89750
Franklin Township,Warren,89420
Parsippany-Troy Hills,Morris,89385
Midland Park,Bergen,89130
Allamuchy,Warren,88802
Woodland,Burlington,88636
Piscataway,Middlesex,88494
Totowa,Passaic,88490
Mount Olive,Morris,88333
Washington,Warren,88322
Knowlton,Warren,88259
Haddon Heights,Camden,88162
Holland,Hunterdon,88125
Wanaque,Passaic,88125
Atlantic Highlands,Monmouth,88024
Vernon,Sussex,87779
Mount Laurel,Burlington,87724
Pequannock,Morris,87464
Wantage,Sussex,87300
Riverdale,Morris,87274
Logan,Gloucester,87200
Pompton Lakes,Passaic,87004
Plumsted Township,Ocean,86694
Lebanon,Hunterdon,86620
Pilesgrove,Salem,86523
Longport,Atlantic,86484
South Plainfield,Middlesex,86404
Lawrence township,Mercer,86301
Leonia,Bergen,86107
Bordentown,Burlington,86104
Secaucus,Hudson,86061
Washington Township,Gloucester,85892
Westwoodd,Bergen,85849
