,name,county,median_income,county2,CODE,COUNTY
ABERDEEN,Aberdeen,Monmouth,84720,MONMOUTH,1301.0,Monmouth County
ABSECON,Absecon,Atlantic,63656,ATLANTIC,101.0,Atlantic County
ALEXANDRIA,Alexandria,Hunterdon,130262,HUNTERDON,1001.0,Hunterdon County
ALLAMUCHY,Allamuchy,Warren,88802,WARREN,2101.0,Warren County
ALLENDALE,Allendale,Bergen,140331,BERGEN,201.0,Bergen County
ALLENHURST,Allenhurst,Monmouth,83155,MONMOUTH,1302.0,Monmouth County
ALLENTOWN,Allentown,Monmouth,97434,MONMOUTH,1303.0,Monmouth County
ALLOWAY,Alloway,Salem,73586,SALEM,1701.0,Salem County
ALPHA,Alpha,Warren,58804,WARREN,2102.0,Warren County
ALPINE,Alpine,Bergen,111146,BERGEN,202.0,Bergen County
ANDOVER,Andover,Sussex,103598,SUSSEX,1901.0,Sussex County
ANDOVER,Andover,Sussex,103598,SUSSEX,1902.0,Sussex County
ANDOVER,Andover,Sussex,76875,SUSSEX,1901.0,Sussex County
ANDOVER,Andover,Sussex,76875,SUSSEX,1902.0,Sussex County
ASBURY PARK,Asbury Park,Monmouth,32755,MONMOUTH,1304.0,Monmouth County
ATLANTIC CITY,Atlantic City,Atlantic,25737,ATLANTIC,102.0,Atlantic County
ATLANTIC HIGHLANDS,Atlantic Highlands,Monmouth,88024,MONMOUTH,1305.0,Monmouth County
AUDUBON,Audubon,Camden,79000,CAMDEN,401.0,Camden County
AUDUBON PARK,Audubon Park,Camden,44722,CAMDEN,402.0,Camden County
AVALON,Avalon,Cape May,83523,CAPE MAY,0501,
AVON-BY-THE-SEA,Avon-by-the-Sea,Monmouth,71513,MONMOUTH,,
BARNEGAT,Barnegat,Ocean,65405,OCEAN,1501.0,Ocean County
BARNEGAT LIGHT,Barnegat Light,Ocean,77500,OCEAN,1502.0,Ocean County
BARRINGTON,Barrington,Camden,61711,CAMDEN,403.0,Camden County
BASS RIVER TOWNSHIP,Bass River Township,Burlington,62727,BURLINGTON,,
BAY HEAD,Bay Head,Ocean,108542,OCEAN,1503.0,Ocean County
BAYONNE,Bayonne,Hudson,54413,HUDSON,901.0,Hudson County
BEACH HAVEN,Beach Haven,Ocean,71964,OCEAN,1504.0,Ocean County
BEACHWOOD,Beachwood,Ocean,71540,OCEAN,1505.0,Ocean County
BEDMINSTER,Bedminster,Somerset,96644,SOMERSET,1801.0,Somerset County
BELLEVILLE,Belleville,Essex,65234,ESSEX,701.0,Essex County
BELLMAWR,Bellmawr,Camden,50784,CAMDEN,404.0,Camden County
BELMAR,Belmar,Monmouth,62083,MONMOUTH,1307.0,Monmouth County
BELVIDERE,Belvidere,Warren,56221,WARREN,2103.0,Warren County
BERGENFIELD,Bergenfield,Bergen,79000,BERGEN,203.0,Bergen County
BERKELEY HEIGHTS,Berkeley Heights,Union,139152,UNION,2001.0,Union County
BERKELEY TOWNSHIP,Berkeley Township,Ocean,43942,OCEAN,,
BERLIN,Berlin,Camden,82429,CAMDEN,405.0,Camden County
BERLIN,Berlin,Camden,82429,CAMDEN,406.0,Camden County
BERLIN TOWNSHIP,Berlin Township,Camden,58893,CAMDEN,,
BERNARDS,Bernards,Somerset,129690,SOMERSET,1802.0,Somerset County
BERNARDSVILLE,Bernardsville,Somerset,114444,SOMERSET,1803.0,Somerset County
BETHLEHEM TOWNSHIP,Bethlehem Township,Hunterdon,130565,HUNTERDON,,
BEVERLY,Beverly,Burlington,50880,BURLINGTON,302.0,Burlington County
BLAIRSTOWN,Blairstown,Warren,84717,WARREN,2104.0,Warren County
BLOOMFIELD,Bloomfield,Essex,72840,ESSEX,702.0,Essex County
BLOOMINGDALE,Bloomingdale,Passaic,75781,PASSAIC,1601.0,Passaic County
BLOOMSBURY,Bloomsbury,Hunterdon,76071,HUNTERDON,1003.0,Hunterdon County
BOGOTA,Bogota,Bergen,76649,BERGEN,204.0,Bergen County
BOONTON,Boonton,Morris,115268,MORRIS,1401.0,Morris County
BOONTON,Boonton,Morris,115268,MORRIS,1402.0,Morris County
BOONTON,Boonton,Morris,90326,MORRIS,1401.0,Morris County
BOONTON,Boonton,Morris,90326,MORRIS,1402.0,Morris County
BORDENTOWN,Bordentown,Burlington,86104,BURLINGTON,303.0,Burlington County
BORDENTOWN,Bordentown,Burlington,86104,BURLINGTON,304.0,Burlington County
BORDENTOWN,Bordentown,Burlington,68266,BURLINGTON,303.0,Burlington County
BORDENTOWN,Bordentown,Burlington,68266,BURLINGTON,304.0,Burlington County
BOUND BROOK,Bound Brook,Somerset,62263,SOMERSET,1804.0,Somerset County
BRADLEY BEACH,Bradley Beach,Monmouth,61682,MONMOUTH,1308.0,Monmouth County
BRANCHBURG,Branchburg,Somerset,124306,SOMERSET,1805.0,Somerset County
BRANCHVILLE,Branchville,Sussex,67308,SUSSEX,1903.0,Sussex County
BRICK,Brick,Ocean,70647,OCEAN,1507.0,Ocean County
BRIDGETON,Bridgeton,Cumberland,36208,CUMBERLAND,601.0,Cumberland County
BRIDGEWATER,Bridgewater,Somerset,114510,SOMERSET,1806.0,Somerset County
BRIELLE,Brielle,Monmouth,122416,MONMOUTH,1309.0,Monmouth County
BRIGANTINE,Brigantine,Atlantic,57031,ATLANTIC,103.0,Atlantic County
BROOKLAWN,Brooklawn,Camden,60208,CAMDEN,407.0,Camden County
BUENA,Buena,Atlantic,46169,ATLANTIC,104.0,Atlantic County
BUENA VISTA,Buena Vista,Atlantic,50421,ATLANTIC,105.0,Atlantic County
BURLINGTON,Burlington,Burlington,81798,BURLINGTON,305.0,Burlington County
BURLINGTON,Burlington,Burlington,81798,BURLINGTON,306.0,Burlington County
BURLINGTON CITY,Burlington City,Burlington,55072,BURLINGTON,,
BUTLER,Butler,Morris,92377,MORRIS,1403.0,Morris County
BYRAM,Byram,Sussex,104281,SUSSEX,1904.0,Sussex County
CALDWELL,Caldwell,Essex,72708,ESSEX,,
CALIFON,Califon,Hunterdon,100833,HUNTERDON,1004.0,Hunterdon County
CAMDEN,Camden,Camden,25042,CAMDEN,408.0,Camden County
CAPE MAY,Cape May,Cape May,50625,CAPE MAY,,
CAPE MAY POINT,Cape May Point,Cape May,53125,CAPE MAY,,
CARLSTADT,Carlstadt,Bergen,70056,BERGEN,205.0,Bergen County
CARNEYS POINT,Carneys Point,Salem,53474,SALEM,1702.0,Salem County
CARTERET,Carteret,Middlesex,67068,MIDDLESEX,1201.0,Middlesex County
CEDAR GROVE,Cedar Grove,Essex,101779,ESSEX,704.0,Essex County
CHATHAM,Chatham,Morris,151216,MORRIS,1404.0,Morris County
CHATHAM,Chatham,Morris,151216,MORRIS,1405.0,Morris County
CHATHAM BOROUGH,Chatham Borough,Morris,142765,MORRIS,,
CHERRY HILL,Cherry Hill,Camden,92185,CAMDEN,409.0,Camden County
CHESILHURST,Chesilhurst,Camden,53516,CAMDEN,410.0,Camden County
CHESTER,Chester,Morris,154094,MORRIS,1406.0,Morris County
CHESTER,Chester,Morris,154094,MORRIS,1407.0,Morris County
CHESTER,Chester,Morris,97250,MORRIS,1406.0,Morris County
CHESTER,Chester,Morris,97250,MORRIS,1407.0,Morris County
CHESTERFIELD,Chesterfield,Burlington,120515,BURLINGTON,307.0,Burlington County
CINNAMINSON,Cinnaminson,Burlington,90286,BURLINGTON,308.0,Burlington County
CITY OF ORANGE,City of Orange,Essex,33233,ESSEX,,
CLARK,Clark,Union,90956,UNION,2002.0,Union County
CLAYTON,Clayton,Gloucester,63628,GLOUCESTER,801.0,Gloucester County
