CODE,MUNICIPALITY,COUNTY
0101,ABSECON,Atlantic County
0102,ATLANTIC CITY,Atlantic County
0103,BRIGANTINE,Atlantic County
0104,BUENA,Atlantic County
0105,BUENA VISTA,Atlantic County
0106,CORBIN CITY,Atlantic County
0107,EGG HARBOR,Atlantic County
0108,EGG HARBOR,Atlantic County
0109,ESTELL MANOR,Atlantic County
0110,FOLSOM,Atlantic County
0111,GALLOWAY,Atlantic County
0112,HAMILTON,Atlantic County
0113,HAMMONTON,Atlantic County
0114,LINWOOD,Atlantic County
0115,LONGPORT,Atlantic County
0116,MARGATE CITY,Atlantic County
0117,MULLICA,Atlantic County
0118,NORTHFIELD,Atlantic County
0119,PLEASANTVILLE,Atlantic County
0120,PORT REPUBLIC,Atlantic County
0121,SOMERS POINT,Atlantic County
0122,VENTNOR,Atlantic County
0123,WEYMOUTH,Atlantic County
0201,ALLENDALE,Bergen County
0202,ALPINE,Bergen County
0203,BERGENFIELD,Bergen County
0204,BOGOTA,Bergen County
0205,CARLSTADT,Bergen County
0206,CLIFFSIDE PARK,Bergen County
0207,CLOSTER,Bergen County
0208,CRESSKILL,Bergen County
0209,DEMAREST,Bergen County
0210,DUMONT,Bergen County
0211,ELMWOOD PARK,Bergen County
0212,E RUTHERFORD,Bergen County
0213,EDGEWATER,Bergen County
0214,EMERSON,Bergen County
0215,ENGLEWOOD,Bergen County
0216,ENGLEWOOD CLIFFS,Bergen County
0217,FAIRLAWN,Bergen County
0218,FAIRVIEW,Bergen County
0219,FORT LEE,Bergen County
0220,FRANKLIN LAKES,Bergen County
0221,GARFIELD,Bergen County
0222,GLEN ROCK,Bergen County
0223,HACKENSACK,Bergen County
0224,HARRINGTON PARK,Bergen County
0225,HASBROUCK HGHTS,Bergen County
0226,HAWORTH,Bergen County
0227,HILLSDALE,Bergen County
0228,HOHOKUS,Bergen County
0229,LEONIA,Bergen County
0230,LITTLE FERRY,Bergen County
0231,LODI,Bergen County
0232,LYNDHURST,Bergen County
0233,MAHWAH,Bergen County
0234,MAYWOOD,Bergen County
0235,MIDLAND PARK,Bergen County
0236,MONTVALE,Bergen County
0237,MOONACHIE,Bergen County
0238,NEW MILFORD,Bergen County
0239,NORTH ARLINGTON,Bergen County
0240,NORTHVALE,Bergen County
0241,NORWOOD,Bergen County
0242,OAKLAND,Bergen County
0243,OLD TAPPAN,Bergen County
0244,ORADELL,Bergen County
0245,PALISADES PARK,Bergen County
0246,PARAMUS,Bergen County
0247,PARK RIDGE,Bergen County
0248,RAMSEY,Bergen County
0249,RIDGEFIELD,Bergen County
0250,RIDGEFIELD PARK,Bergen County
0251,RIDGEWOOD,Bergen County
0252,RIVEREDGE,Bergen County
0253,RIVERVALE,Bergen County
0254,ROCHELLE PARK,Bergen County
0255,ROCKLEIGH,Bergen County
0256,RUTHERFORD,Bergen County
0257,SADDLE BROOK,Bergen County
0258,SADDLE RIVER,Bergen County
0259,SO HACKENSACK,Bergen County
0260,TEANECK,Bergen County
0261,TENAFLY,Bergen County
0262,TETERBORO,Bergen County
0263,UPPER SADDLE RIV,Bergen County
0264,WALDWICK,Bergen County
0265,WALLINGTON,Bergen County
0266,WASHINGTON,Bergen County
0267,WESTWOOD,Bergen County
0268,WOODCLIFF LAKE,Bergen County
0269,WOOD RIDGE,Bergen County
0270,WYCKOFF,Bergen County
0301,BASS RIVER,Burlington County
0302,BEVERLY,Burlington County
0303,BORDENTOWN,Burlington County
0304,BORDENTOWN,Burlington County
0305,BURLINGTON,Burlington County
0306,BURLINGTON,Burlington County
0307,CHESTERFIELD,Burlington County
0308,CINNAMINSON,Burlington County
0309,DELANCO,Burlington County
0310,DELRAN,Burlington County
0311,EASTAMPTON,Burlington County
0312,EDGEWATER PARK,Burlington County
0313,EVESHAM,Burlington County
0314,FIELDSBORO,Burlington County
0315,FLORENCE,Burlington County
0316,HAINESPORT,Burlington County
0317,LUMBERTON,Burlington County
0318,MANSFIELD,Burlington County
0319,MAPLE SHADE,Burlington County
0320,MEDFORD,Burlington County
0321,MEDFORD LAKES,Burlington County
0322,MOORESTOWN,Burlington County
0323,MT HOLLY,Burlington County
0324,MT LAUREL,Burlington County
0325,NEW HANOVER,Burlington County
